565,8282150
1232,8281010
1899,8282218
565,8281353
1232,8282197
1899,8281931
2566,8282949
3232,8282398
3899,8282660
4566,8283102
5232,8284183
5900,8283673
6566,8283604
7233,8283154
7900,8282789
8566,8282336
9233,8282596
9901,8283053
10567,8283922
11234,8284092
11900,8283097
12567,8283346
13235,8282691
13901,8282826
14568,8283684
15235,8283136
15901,8283439
16569,8283259
17235,8282794
17902,8282624
18569,8283007
19235,8283000
19903,8282757
20570,8283234
21236,8282795
21903,8282957
22569,8283030
23237,8282123
23904,8282695
24570,8283364
25237,8282477
25904,8281350
26571,8282748
27238,8282190
27905,8282202
28571,8283390
29238,8281550
29905,8282351
30572,8282647
31239,8283355
31905,8282964
32572,8283082
33240,8284451
33906,8283166
34573,8283444
35239,8283412
35906,8283007
36574,8283237
37240,8283229
37907,8283084
38574,8283527
39240,8283339
39908,8284407
40574,8283445
41241,8283684
41908,8283041
42574,8282667
43242,8283725
43909,8282307
44575,8282928
45242,8282735
45908,8282507
46576,8283493
47243,8283332
47909,8283359
48576,8283705
49243,8283493
49910,8284623
50577,8284389
51244,8284123
51910,8284817
52577,8285212
53244,8284291
53911,8284182
54578,8283748
55244,8283108
55911,8283159
56579,8282879
57245,8282834
57912,8283612
58578,8283095
59245,8283874
59913,8283812
60579,8283786
61246,8283600
61913,8283470
62579,8283756
63247,8283370
63913,8282850
64580,8283280
65247,8283380
65913,8284228
66580,8283544
67248,8284802
67914,8284240
68581,8284544
69248,8284142
69914,8284749
70582,8284852
71248,8285286
71915,8284737
72582,8285210
73248,8284551
73916,8283800
74583,8283453
75249,8283627
75916,8285178
76582,8284679
77250,8285178
77917,8284954
78583,8285735
79250,8284191
79917,8284465
80584,8284068
81251,8284228
81917,8285669
82584,8285456
83251,8285332
83918,8285612
84585,8284984
85252,8283462
85918,8284906
86585,8284432
87252,8284770
87919,8284976
88586,8286430
89252,8285235
89919,8285246
90587,8285126
91253,8284568
91920,8285063
92587,8283956
93253,8284628
93921,8284581
94587,8285612
95254,8286038
95921,8285289
96587,8285374
97255,8284535
97922,8285309
98588,8285505
99255,8285639
99921,8285350
100589,8286061
101256,8285629
101922,8285193
102589,8284781
103257,8285653
103923,8285037
104590,8285438
105256,8286447
105924,8287124
106591,8285374
107257,8286639
107924,8286975
108592,8286816
